model,axis,n_total,n_concordant,n_discordant,flips_A0_to_A1,flips_A1_to_A0,discordance_rate,odds_ratio_ab_over_ba,or_ci_lo,or_ci_hi,mcnemar_p_exact,p_bonferroni,p_bh_fdr
Llama 3.3 70B,authority_signal,950,806,144,118,26,0.15157894736842106,4.538461538461538,2.9485900502616724,7.232778200416024,3.3595938579900474e-15,2.1501400691136303e-13,3.583566781856051e-14
Llama 3.3 70B,competence_uncertainty,950,890,60,24,36,0.06315789473684211,0.6666666666666666,0.38049391125485715,1.1486641964839066,0.1550019040032606,1.0,0.24800304640521698
Llama 3.3 70B,diffused_responsibility,950,900,50,14,36,0.05263157894736842,0.3888888888888889,0.1937598838473991,0.7388442271196928,0.0026021714567221466,0.16653897323021738,0.00640534512423913
Llama 3.3 70B,in_out_group,950,891,59,20,39,0.06210526315789474,0.5128205128205128,0.28338682478604055,0.9008845147516035,0.018337087779101986,1.0,0.033530674796072205
Llama 3.3 70B,resource_scarcity,950,882,68,32,36,0.07157894736842105,0.8888888888888888,0.5344765413367981,1.4722372554429417,0.716300760154337,1.0,0.8489490490718068
Llama 3.3 70B,self_preservation,950,806,144,127,17,0.15157894736842106,7.470588235294118,4.486075670841081,13.225285948090301,5.348578814705367e-22,3.423090441411435e-20,1.7115452207057175e-20
Llama 3.3 70B,social_visibility,950,896,54,14,40,0.056842105263157895,0.35,0.17588495235354082,0.6571235748344924,0.0005354355028570622,0.03426787218285198,0.0015576305537659992
Llama 3.3 70B,time_pressure,950,901,49,26,23,0.05157894736842105,1.1304347826086956,0.6200385416770882,2.0737195507290016,0.7754496546815659,1.0,0.8755289044806448
Qwen 2.5 32B,authority_signal,948,859,89,66,23,0.0938818565400844,2.869565217391304,1.7615162394966295,4.834182751556011,5.690249181613522e-06,0.0003641759476232654,2.60125676873761e-05
Qwen 2.5 32B,competence_uncertainty,950,890,60,2,58,0.06315789473684211,0.034482758620689655,0.00407919688789019,0.1303024465476483,3.1762786845135338e-15,2.0328183580886616e-13,3.583566781856051e-14
Qwen 2.5 32B,diffused_responsibility,950,901,49,8,41,0.05157894736842105,0.1951219512195122,0.07900793927645289,0.42160830579255515,1.9646537765538596e-06,0.00012573784169944702,1.0478153474953919e-05
Qwen 2.5 32B,in_out_group,950,905,45,9,36,0.04736842105263158,0.25,0.10589774900201337,0.5289544942296116,6.57466324582856e-05,0.004207784477330279,0.00022146234091211992
Qwen 2.5 32B,resource_scarcity,949,905,44,13,31,0.04636459430979979,0.41935483870967744,0.2014089853956278,0.8248902743724563,0.009559878856634896,0.6118322468246333,0.019736524091117206
Qwen 2.5 32B,self_preservation,950,828,122,94,28,0.12842105263157894,3.357142857142857,2.1812564302082253,5.319226890084958,1.576805868495512e-09,1.0091557558371277e-07,1.1212841731523641e-08
Qwen 2.5 32B,social_visibility,949,910,39,10,29,0.0410958904109589,0.3448275862068966,0.1499233221020138,0.7279330809638856,0.0033778479119064286,0.21618226636201143,0.007720795227214694
Qwen 2.5 32B,time_pressure,950,902,48,15,33,0.05052631578947368,0.45454545454545453,0.22940180775942756,0.8605121157761356,0.01328328156224501,0.8501300199836807,0.025761515757081233
Gemma 4 31B,authority_signal,949,780,169,141,28,0.1780821917808219,5.035714285714286,3.3388741249242995,7.849053495672395,2.4497812121862716e-19,1.5678599757992138e-17,3.9196499394980346e-18
Gemma 4 31B,competence_uncertainty,949,886,63,29,34,0.06638566912539515,0.8529411764705882,0.5013084007044869,1.4424466318508025,0.6146550157654618,1.0,0.7713317844899913
Gemma 4 31B,diffused_responsibility,948,877,71,15,56,0.07489451476793249,0.26785714285714285,0.14069385395113138,0.480171608343694,1.0414019304757919e-06,6.664972355045068e-05,6.059065777313698e-06
Gemma 4 31B,in_out_group,949,891,58,15,43,0.06111696522655427,0.3488372093023256,0.18001322165971625,0.6405051506197611,0.000306947015546566,0.019644608994980224,0.0009670610834964745
Gemma 4 31B,resource_scarcity,949,876,73,37,36,0.07692307692307693,1.0277777777777777,0.6317816352548616,1.6734598485699732,0.9999999999999998,1.0,1.0
Gemma 4 31B,self_preservation,948,818,130,115,15,0.1371308016877637,7.666666666666667,4.459681745882982,14.142804418128383,2.84856058032079e-20,1.8230787714053057e-18,6.076929238017686e-19
Gemma 4 31B,social_visibility,948,896,52,17,35,0.05485232067510549,0.4857142857142857,0.255174122414691,0.8905494363266978,0.017533235299084904,1.0,0.03300373703357158
Gemma 4 31B,time_pressure,949,898,51,22,29,0.05374077976817703,0.7586206896551724,0.4153377653820055,1.367125965459149,0.4010619910279374,1.0,0.5703992761286221
Llama 3.1 8B,authority_signal,950,919,31,24,7,0.03263157894736842,3.4285714285714284,1.4333039529625353,9.422945585263982,0.003326892852783203,0.212921142578125,0.007720795227214694
